VIRGO_ID	Species
V1007246	Gardnerella_vaginalis
V1007247	Gardnerella_vaginalis
V1007248	Gardnerella_vaginalis
V1007249	Gardnerella_vaginalis
V1007250	Gardnerella_vaginalis
V1007251	Gardnerella_vaginalis
V1007252	Gardnerella_vaginalis
V1007253	Gardnerella_vaginalis
V1007254	Gardnerella_vaginalis
V1007255	Gardnerella_vaginalis
V1007256	Gardnerella_vaginalis
V1007257	Gardnerella_vaginalis
V1007258	Gardnerella_vaginalis
V1007259	Gardnerella_vaginalis
V1007260	Gardnerella_vaginalis
V1007261	Gardnerella_vaginalis
V1007262	Gardnerella_vaginalis
V1007263	Gardnerella_vaginalis
V1007264	Gardnerella_vaginalis
V1007265	Gardnerella_vaginalis
V1007266	Gardnerella_vaginalis
V1007267	Gardnerella_vaginalis
V1007268	Gardnerella_vaginalis
V1007269	Gardnerella_vaginalis
V1007270	Gardnerella_vaginalis
V1036684	Gardnerella_swidsinkii
V1007272	Gardnerella_vaginalis
V1007273	Gardnerella_vaginalis
V1007274	Gardnerella_vaginalis
V1007275	Gardnerella_vaginalis
V1007276	Gardnerella_vaginalis
V1482871	not assigned
V1577038	not assigned
V1007417	Gardnerella_sp9
V1010849	Gardnerella_vaginalis
V1071741	not assigned
V1099986	Gardnerella_sp13
V1087594	not assigned
V1421088	not assigned
V1007423	Gardnerella_sp9
V1239784	Gardnerella_sp7
V1565365	not assigned
V1069984	not assigned
V1037010	Gardnerella_vaginalis
V1342657	Gardnerella_sp13
V1075260	Gardnerella_sp11
V1015990	not assigned
V1018096	Gardnerella_vaginalis
V1245907	not assigned
V1191704	Gardnerella_swidsinkii
V1576997	not assigned
V1176954	not assigned
V1051842	not assigned
V1013529	Gardnerella_sp9
V1329501	not assigned
V1042172	Gardnerella_sp14
V1108006	Gardnerella_sp14
V1203572	not assigned
V1216190	not assigned
V1266247	Gardnerella_leopoldii
V1328556	not assigned
V1618987	Gardnerella_swidsinkii
V1055846	Gardnerella_vaginalis
V1103737	Gardnerella_sp14
V1118031	not assigned
V1334863	Gardnerella_sp8
V1464250	not assigned
V1594748	not assigned
V1007452	Gardnerella_sp9
V1103555	Gardnerella_sp8
V1216042	not assigned
V1467358	not assigned
V1010683	not assigned
V1011558	not assigned
V1011560	not assigned
V1037387	not assigned
V1007460	Gardnerella_sp9
V1414483	not assigned
V1465621	not assigned
V1483001	not assigned
V1618181	not assigned
V1039461	Gardnerella_sp14
V1266160	Gardnerella_leopoldii
V1155290	not assigned
V1216047	Gardnerella_sp2
V1348384	Gardnerella_sp7
V1394746	not assigned
V1413301	not assigned
V1487917	Gardnerella_sp3
V1880342	Gardnerella_vaginalis
V1104370	Gardnerella_sp8
V1151343	not assigned
V1152279	Gardnerella_leopoldii
V1081375	not assigned
V1594566	not assigned
V1052209	Gardnerella_sp2
V1055256	Gardnerella_sp2
V1103508	Gardnerella_vaginalis
V1292655	not assigned
V1355823	not assigned
V1403555	not assigned
V1574923	Gardnerella_vaginalis
V1620943	not assigned
V1011849	Gardnerella_sp10
V1016395	not assigned
V1099788	not assigned
V1007844	Gardnerella_sp9
V1465915	not assigned
V1083326	not assigned
V1074197	Gardnerella_sp8
V1173698	not assigned
V1216055	Gardnerella_sp2
V1413390	not assigned
V1007968	Gardnerella_sp9
V1081757	Gardnerella_sp14
V1099374	not assigned
V1099708	Gardnerella_sp13
V1102997	not assigned
V1103724	Gardnerella_sp8
V1137057	Gardnerella_sp8
V1490649	Gardnerella_swidsinkii
V1151098	Gardnerella_sp14
V1201565	not assigned
V1267287	Gardnerella_leopoldii
V1386115	Gardnerella_leopoldii
V1440637	not assigned
V1881293	Gardnerella_vaginalis
V1053799	Gardnerella_sp2
V1073106	Gardnerella_sp10
V1171281	Gardnerella_sp8
V1199141	not assigned
V1200294	Gardnerella_sp10
V1201936	not assigned
V1268268	Gardnerella_sp8
V1328384	not assigned
V1195317	Gardnerella_sp13
V1115775	Gardnerella_sp8
V1136926	Gardnerella_sp8
V1171040	Gardnerella_sp9
V1458443	Gardnerella_sp14
V1577739	not assigned
V1881507	Gardnerella_vaginalis
V1006879	Gardnerella_sp9
V1006895	not assigned
V1392193	Gardnerella_swidsinkii
V1364844	not assigned
V1483211	not assigned
V1543092	Gardnerella_vaginalis
V1015126	not assigned
V1237335	not assigned
V1239707	Gardnerella_leopoldii
V1265945	Gardnerella_sp3
V1403653	not assigned
V1612166	Gardnerella_sp14
V1010223	Gardnerella_sp9
V1010852	Gardnerella_vaginalis
V1301595	Gardnerella_swidsinkii
V1171902	not assigned
V1008208	Gardnerella_sp9
V1008209	not assigned
V1195625	not assigned
V1230129	not assigned
V1289911	Gardnerella_sp14
V1294999	Gardnerella_sp2
V1337303	not assigned
V1426242	not assigned
V1008216	Gardnerella_sp9
V1337373	Gardnerella_swidsinkii
V1614067	Gardnerella_sp3
V1007447	Gardnerella_sp8
V1010681	Gardnerella_sp9
V1040126	not assigned
V1080668	Gardnerella_sp14
V1268234	Gardnerella_sp13
V1100532	Gardnerella_leopoldii
V1106441	Gardnerella_sp12
V1239585	not assigned
V1244362	Gardnerella_sp14
V1176548	not assigned
V1018095	not assigned
V1162269	not assigned
V1352671	not assigned
V1394418	Gardnerella_sp14
V1364337	not assigned
V1881530	Gardnerella_vaginalis
V1032163	Gardnerella_sp3
V1266188	Gardnerella_leopoldii
V1086617	not assigned
V1008385	Gardnerella_sp9
V1103566	Gardnerella_sp8
V1105599	Gardnerella_sp14
V1109445	not assigned
V1145278	not assigned
V1151228	Gardnerella_sp14
V1199107	not assigned
V1394869	Gardnerella_sp11
V1395094	Gardnerella_sp8
V1482760	not assigned
V1008395	Gardnerella_sp9
V1483626	not assigned
V1008397	Gardnerella_sp9
V1567778	not assigned
V1883525	Gardnerella_vaginalis
V1007469	Gardnerella_sp10
V1014528	Gardnerella_vaginalis
V1574917	not assigned
V1099295	not assigned
V1152071	Gardnerella_sp2
V1172093	Gardnerella_leopoldii
V1008406	Gardnerella_sp9
V1008407	Gardnerella_sp9
V1191705	not assigned
V1200176	not assigned
V1483165	not assigned
V1554763	not assigned
V1013412	Gardnerella_sp8
V1043366	Gardnerella_sp7
V1085367	Gardnerella_sp12
V1137047	not assigned
V1216676	not assigned
V1241355	Gardnerella_sp13
V1010850	Gardnerella_vaginalis
V1011562	Gardnerella_sp9
V1039631	not assigned
V1099711	not assigned
V1137146	Gardnerella_sp8
V1199998	Gardnerella_sp10
V1290063	not assigned
V1294928	not assigned
V1324421	not assigned
V1008428	Gardnerella_sp9
V1374416	not assigned
V1409413	not assigned
V1463932	not assigned
V1008624	not assigned
V1547561	Gardnerella_sp8
V1595196	not assigned
V1603106	Gardnerella_sp8
V1008722	Gardnerella_sp8
V1014818	not assigned
V1098980	Gardnerella_sp13
V1136981	Gardnerella_sp8
V1192141	not assigned
V1237393	not assigned
V1269215	Gardnerella_sp14
V1317020	not assigned
V1364379	not assigned
V1483015	not assigned
V1041585	not assigned
V1080135	Gardnerella_sp14
V1105537	Gardnerella_sp8
V1121144	Gardnerella_sp8
V1175388	Gardnerella_sp7
V1265286	not assigned
V1265738	not assigned
V1319895	not assigned
V1329588	not assigned
V1465332	not assigned
V1015550	not assigned
V1055960	Gardnerella_sp2
V1100203	not assigned
V1199656	Gardnerella_sp3
V1268488	not assigned
V1410002	not assigned
V1440901	not assigned
V1468407	not assigned
V1482748	Gardnerella_sp8
V1483511	not assigned
V1881390	Gardnerella_vaginalis
V1010971	Gardnerella_sp14
V1011850	not assigned
V1041053	Gardnerella_sp8
V1073201	not assigned
V1156649	not assigned
V1158146	not assigned
V1171738	not assigned
V1335261	not assigned
V1356235	not assigned
V1363034	not assigned
V1405666	Gardnerella_sp12
V1420929	not assigned
V1458422	not assigned
V1482691	not assigned
V1592977	Gardnerella_sp7
V1880216	Gardnerella_vaginalis
V1006889	not assigned
V1009344	Gardnerella_sp9
V1010682	Gardnerella_sp10
V1033800	not assigned
V1054599	not assigned
V1114495	Gardnerella_sp8
V1193257	not assigned
V1195449	not assigned
V1237336	not assigned
V1237486	not assigned
V1295074	Gardnerella_leopoldii
V1009072	not assigned
V1009073	Gardnerella_sp2
V1009074	Gardnerella_vaginalis
V1009075	Gardnerella_vaginalis
V1337291	not assigned
V1009077	Gardnerella_vaginalis
V1467178	not assigned
V1009235	Gardnerella_vaginalis
V1009236	Gardnerella_vaginalis
V1009237	not assigned
V1009238	Gardnerella_vaginalis
V1009239	Gardnerella_vaginalis
V1009240	Gardnerella_vaginalis
V1009241	Gardnerella_vaginalis
V1009242	Gardnerella_vaginalis
V1009243	Gardnerella_vaginalis
V1009244	Gardnerella_vaginalis
V1009245	Gardnerella_vaginalis
V1009246	Gardnerella_vaginalis
V1009247	Gardnerella_vaginalis
V1009248	Gardnerella_vaginalis
V1009249	Gardnerella_vaginalis
V1009250	not assigned
V1009251	Gardnerella_vaginalis
V1009252	Gardnerella_vaginalis
V1009253	Gardnerella_vaginalis
V1009254	Gardnerella_vaginalis
V1009255	Gardnerella_vaginalis
V1327805	Gardnerella_sp12
V1009257	Gardnerella_vaginalis
V1009258	not assigned
V1009259	Gardnerella_vaginalis
V1009260	Gardnerella_vaginalis
V1009261	Gardnerella_vaginalis
V1009262	Gardnerella_vaginalis
V1009263	Gardnerella_vaginalis
V1009264	Gardnerella_vaginalis
V1009265	Gardnerella_vaginalis
V1009266	Gardnerella_vaginalis
V1334880	not assigned
V1483408	not assigned
V1553765	not assigned
V1008225	not assigned
V1055255	Gardnerella_sp2
V1078611	Gardnerella_sp14
V1109699	Gardnerella_sp8
V1113933	Gardnerella_sp8
V1151289	Gardnerella_sp8
V1170794	Gardnerella_sp8
V1267768	Gardnerella_piotii
V1275601	not assigned
V1334680	Gardnerella_sp8
V1356526	Gardnerella_sp7
V1404936	not assigned
V1420959	not assigned
V1482886	not assigned
V1506526	not assigned
V1561334	Gardnerella_sp8
V1007845	not assigned
V1009334	not assigned
V1008723	not assigned
V1009336	Gardnerella_sp8
V1009320	Gardnerella_sp9
V1011563	not assigned
V1011565	not assigned
V1074120	Gardnerella_leopoldii
V1085233	not assigned
V1085675	Gardnerella_sp14
V1102820	Gardnerella_sp8
V1137253	not assigned
V1155450	Gardnerella_sp14
V1385869	not assigned
V1509024	Gardnerella_vaginalis
V1578514	not assigned
V1006156	not assigned
V1008718	Gardnerella_sp9
V1051538	Gardnerella_sp2
V1056163	Gardnerella_vaginalis
V1106644	Gardnerella_sp14
V1190704	Gardnerella_sp7
V1191135	not assigned
V1195773	Gardnerella_sp14
V1200237	Gardnerella_sp10
V1355626	Gardnerella_sp8
V1401313	not assigned
V1465744	not assigned
V1466933	not assigned
V1009507	Gardnerella_vaginalis
V1009508	Gardnerella_vaginalis
V1009509	Gardnerella_vaginalis
V1009510	Gardnerella_vaginalis
V1009511	Gardnerella_vaginalis
V1009512	Gardnerella_vaginalis
V1009513	Gardnerella_vaginalis
V1009514	Gardnerella_vaginalis
V1009515	Gardnerella_vaginalis
V1009516	Gardnerella_vaginalis
V1009517	Gardnerella_vaginalis
V1009518	Gardnerella_vaginalis
V1009583	not assigned
V1009584	Gardnerella_vaginalis
V1009585	Gardnerella_vaginalis
V1036454	Gardnerella_vaginalis
V1009587	Gardnerella_vaginalis
V1009588	Gardnerella_vaginalis
V1009589	Gardnerella_vaginalis
V1009590	Gardnerella_vaginalis
V1009591	Gardnerella_vaginalis
V1009592	Gardnerella_vaginalis
V1009593	Gardnerella_vaginalis
V1009594	Gardnerella_vaginalis
V1009595	Gardnerella_vaginalis
V1009596	Gardnerella_vaginalis
V1009597	Gardnerella_vaginalis
V1009619	Gardnerella_vaginalis
V1009620	Gardnerella_vaginalis
V1009621	Gardnerella_vaginalis
V1009622	Gardnerella_vaginalis
V1009623	Gardnerella_vaginalis
V1009624	Gardnerella_vaginalis
V1009625	Gardnerella_vaginalis
V1009626	Gardnerella_vaginalis
V1009627	Gardnerella_vaginalis
V1009628	Gardnerella_vaginalis
V1009629	Gardnerella_vaginalis
V1009630	Gardnerella_vaginalis
V1009631	Gardnerella_vaginalis
V1009632	Gardnerella_vaginalis
V1009633	Gardnerella_vaginalis
V1009634	Gardnerella_vaginalis
V1009635	Gardnerella_vaginalis
V1009636	Gardnerella_vaginalis
V1009637	Gardnerella_vaginalis
V1009638	Gardnerella_vaginalis
V1009639	Gardnerella_vaginalis
V1009640	Gardnerella_vaginalis
V1009641	not assigned
V1009642	Gardnerella_vaginalis
V1009643	Gardnerella_vaginalis
V1009644	Gardnerella_vaginalis
V1009645	Gardnerella_sp2
V1009646	Gardnerella_vaginalis
V1009647	Gardnerella_vaginalis
V1009648	Gardnerella_vaginalis
V1009649	Gardnerella_vaginalis
V1009650	Gardnerella_vaginalis
V1009673	Gardnerella_vaginalis
V1009674	Gardnerella_vaginalis
V1009675	Gardnerella_vaginalis
V1009676	Gardnerella_vaginalis
V1009677	Gardnerella_vaginalis
V1009678	Gardnerella_vaginalis
V1009679	Gardnerella_vaginalis
V1009680	Gardnerella_vaginalis
V1009681	Gardnerella_vaginalis
V1009682	Gardnerella_vaginalis
V1009683	Gardnerella_vaginalis
V1009684	Gardnerella_vaginalis
V1009685	Gardnerella_vaginalis
V1009686	Gardnerella_vaginalis
V1009687	Gardnerella_vaginalis
V1009688	Gardnerella_vaginalis
V1009689	Gardnerella_vaginalis
V1009690	Gardnerella_vaginalis
V1009733	Gardnerella_vaginalis
V1482685	Gardnerella_sp3
V1009735	Gardnerella_vaginalis
V1502072	Gardnerella_sp7
V1009737	Gardnerella_vaginalis
V1009738	Gardnerella_vaginalis
V1009739	not assigned
V1009740	Gardnerella_vaginalis
V1009741	Gardnerella_vaginalis
V1009742	Gardnerella_vaginalis
V1009743	Gardnerella_vaginalis
V1009744	Gardnerella_vaginalis
V1009745	Gardnerella_vaginalis
V1009746	Gardnerella_vaginalis
V1010216	Gardnerella_sp9
V1008421	not assigned
V1055332	Gardnerella_sp2
V1058414	Gardnerella_vaginalis
V1078939	Gardnerella_sp14
V1106547	Gardnerella_sp8
V1109594	Gardnerella_sp8
V1114918	Gardnerella_sp8
V1151393	not assigned
V1156352	Gardnerella_sp14
V1158871	not assigned
V1187966	not assigned
V1195616	not assigned
V1483247	Gardnerella_sp8
V1012523	not assigned
V1037014	not assigned
V1099543	Gardnerella_sp13
V1074088	Gardnerella_sp2
V1103554	Gardnerella_sp8
V1103653	Gardnerella_sp8
V1105522	Gardnerella_sp8
V1140687	Gardnerella_vaginalis
V1154189	not assigned
V1459390	not assigned
V1195335	not assigned
V1203350	Gardnerella_sp10
V1323228	not assigned
V1328970	not assigned
V1402948	not assigned
V1409701	not assigned
V1414600	not assigned
V1445205	Gardnerella_vaginalis
V1500051	not assigned
V1595300	not assigned
V1881408	Gardnerella_vaginalis
V1007444	Gardnerella_sp9
V1007475	not assigned
V1010846	Gardnerella_vaginalis
V1010625	not assigned
V1010626	Gardnerella_vaginalis
V1010627	Gardnerella_vaginalis
V1010628	Gardnerella_vaginalis
V1010629	Gardnerella_vaginalis
V1010630	Gardnerella_vaginalis
V1010631	Gardnerella_vaginalis
V1010632	Gardnerella_vaginalis
V1010633	Gardnerella_vaginalis
V1010634	Gardnerella_vaginalis
V1010635	Gardnerella_vaginalis
V1010636	Gardnerella_vaginalis
V1010637	Gardnerella_vaginalis
V1010638	Gardnerella_vaginalis
V1010639	Gardnerella_vaginalis
V1010640	not assigned
V1010641	Gardnerella_vaginalis
V1015548	not assigned
V1006936	Gardnerella_sp8
V1074196	Gardnerella_sp8
V1137055	Gardnerella_sp8
V1105281	Gardnerella_sp8
V1152577	Gardnerella_sp14
V1202230	not assigned
V1203431	not assigned
V1010843	Gardnerella_vaginalis
V1245819	not assigned
V1334900	Gardnerella_piotii
V1436726	Gardnerella_vaginalis
V1499208	not assigned
V1554035	not assigned
V1006055	not assigned
V1565277	not assigned
V1881256	Gardnerella_vaginalis
V1007441	not assigned
V1010948	Gardnerella_vaginalis
V1010949	Gardnerella_vaginalis
V1010950	Gardnerella_vaginalis
V1010951	Gardnerella_vaginalis
V1010952	Gardnerella_vaginalis
V1010953	Gardnerella_vaginalis
V1010954	Gardnerella_vaginalis
V1010955	Gardnerella_vaginalis
V1010956	Gardnerella_vaginalis
V1010957	Gardnerella_vaginalis
V1010958	Gardnerella_vaginalis
V1010959	Gardnerella_vaginalis
V1010960	Gardnerella_vaginalis
V1010961	Gardnerella_vaginalis
V1010962	Gardnerella_vaginalis
V1010963	Gardnerella_vaginalis
V1010232	not assigned
V1010449	not assigned
V1051536	not assigned
V1052435	Gardnerella_sp2
V1073021	Gardnerella_sp10
V1075925	not assigned
V1075972	not assigned
V1180624	not assigned
V1192922	not assigned
V1199114	not assigned
V1268590	not assigned
V1367146	not assigned
V1376165	not assigned
V1411048	Gardnerella_vaginalis
V1421046	Gardnerella_sp7
V1498456	Gardnerella_sp7
V1549663	not assigned
V1554212	Gardnerella_vaginalis
V1612225	not assigned
V1006080	not assigned
V1008230	not assigned
V1190448	Gardnerella_sp7
V1011148	Gardnerella_vaginalis
V1011149	Gardnerella_vaginalis
V1011150	Gardnerella_vaginalis
V1011151	Gardnerella_vaginalis
V1011152	Gardnerella_vaginalis
V1011153	Gardnerella_vaginalis
V1011154	Gardnerella_vaginalis
V1072440	Gardnerella_sp9
V1007477	not assigned
V1103286	Gardnerella_sp8
V1136919	Gardnerella_sp8
V1151811	not assigned
V1155563	Gardnerella_sp14
V1180770	not assigned
V1199731	Gardnerella_sp10
V1265451	not assigned
V1334756	not assigned
V1011165	Gardnerella_sp8
V1011227	Gardnerella_vaginalis
V1011228	Gardnerella_vaginalis
V1011229	Gardnerella_vaginalis
V1011230	Gardnerella_vaginalis
V1337351	not assigned
V1357005	Gardnerella_sp7
V1421038	not assigned
V1482694	not assigned
V1490342	not assigned
V1563147	Gardnerella_sp2
V1618575	not assigned
V1619244	not assigned
V1006896	not assigned
V1010965	not assigned
V1055847	not assigned
V1011328	Gardnerella_vaginalis
V1011329	not assigned
V1011330	Gardnerella_vaginalis
V1011369	Gardnerella_vaginalis
V1011370	Gardnerella_vaginalis
V1054684	Gardnerella_sp2
V1011372	Gardnerella_vaginalis
V1011373	Gardnerella_vaginalis
V1011374	Gardnerella_vaginalis
V1011375	Gardnerella_vaginalis
V1011376	Gardnerella_vaginalis
V1011377	Gardnerella_vaginalis
V1011378	Gardnerella_vaginalis
V1011379	Gardnerella_vaginalis
V1011530	not assigned
V1056354	Gardnerella_sp2
V1071811	not assigned
V1103062	Gardnerella_sp8
V1104243	Gardnerella_sp8
V1104483	Gardnerella_sp8
V1105689	Gardnerella_sp10
V1151217	not assigned
V1151272	Gardnerella_sp14
V1198739	Gardnerella_vaginalis
V1400188	Gardnerella_leopoldii
V1409643	Gardnerella_sp8
V1412687	not assigned
V1445216	not assigned
V1482631	not assigned
V1622222	Gardnerella_sp9
V1007457	Gardnerella_sp9
V1011533	Gardnerella_sp9
V1012524	not assigned
V1040183	not assigned
V1054600	not assigned
V1032090	Gardnerella_sp3
V1069680	not assigned
V1011660	not assigned
V1011661	not assigned
V1241319	not assigned
V1334746	not assigned
V1011664	Gardnerella_vaginalis
V1011665	Gardnerella_vaginalis
V1011666	Gardnerella_vaginalis
V1011667	Gardnerella_vaginalis
V1334746	not assigned
V1467235	not assigned
V1547820	not assigned
V1548158	not assigned
V1603277	Gardnerella_sp8
V1612298	Gardnerella_piotii
V1016396	not assigned
V1037812	Gardnerella_vaginalis
V1057720	not assigned
V1103123	Gardnerella_sp8
V1011904	Gardnerella_vaginalis
V1011905	Gardnerella_vaginalis
V1011906	Gardnerella_vaginalis
V1011907	Gardnerella_vaginalis
V1011908	Gardnerella_vaginalis
V1011909	Gardnerella_vaginalis
V1103282	Gardnerella_sp8
V1136920	Gardnerella_sp8
V1137066	Gardnerella_sp8
V1154598	Gardnerella_sp14
V1203321	not assigned
V1331104	not assigned
V1344674	not assigned
V1011995	not assigned
V1356108	not assigned
V1385823	not assigned
V1012019	Gardnerella_vaginalis
V1012020	Gardnerella_vaginalis
V1012021	Gardnerella_vaginalis
V1012022	Gardnerella_vaginalis
V1012023	Gardnerella_vaginalis
V1420901	not assigned
V1566274	not assigned
V1007451	Gardnerella_sp9
V1007969	not assigned
V1008218	not assigned
V1008223	not assigned
V1008724	Gardnerella_sp9
V1012187	Gardnerella_vaginalis
V1012188	Gardnerella_vaginalis
V1012189	Gardnerella_vaginalis
V1012190	Gardnerella_vaginalis
V1012191	Gardnerella_vaginalis
V1012192	Gardnerella_vaginalis
V1012193	Gardnerella_vaginalis
V1012194	Gardnerella_vaginalis
V1012195	Gardnerella_vaginalis
V1012196	Gardnerella_vaginalis
V1012197	Gardnerella_vaginalis
V1012218	Gardnerella_vaginalis
V1012219	Gardnerella_vaginalis
V1012220	Gardnerella_vaginalis
V1012221	not assigned
V1012222	Gardnerella_sp2
V1012223	Gardnerella_vaginalis
V1012224	Gardnerella_vaginalis
V1012311	Gardnerella_vaginalis
V1012312	Gardnerella_vaginalis
V1012313	Gardnerella_vaginalis
V1012314	Gardnerella_vaginalis
V1012363	Gardnerella_vaginalis
V1012364	Gardnerella_vaginalis
V1012365	Gardnerella_vaginalis
V1012366	Gardnerella_vaginalis
V1012367	Gardnerella_vaginalis
V1012444	Gardnerella_vaginalis
V1012445	Gardnerella_vaginalis
V1012446	Gardnerella_vaginalis
V1012447	Gardnerella_vaginalis
V1012494	Gardnerella_vaginalis
V1012495	Gardnerella_vaginalis
V1012496	Gardnerella_vaginalis
V1012497	Gardnerella_vaginalis
V1012498	Gardnerella_vaginalis
V1016394	not assigned
V1055330	not assigned
V1072278	not assigned
V1105638	not assigned
V1012522	Gardnerella_sp10
V1137067	Gardnerella_sp8
V1137199	not assigned
V1182055	Gardnerella_sp7
V1012542	Gardnerella_vaginalis
V1012543	Gardnerella_vaginalis
V1012544	Gardnerella_vaginalis
V1012582	Gardnerella_vaginalis
V1012637	Gardnerella_vaginalis
V1012638	Gardnerella_vaginalis
V1012639	Gardnerella_vaginalis
V1012640	Gardnerella_vaginalis
V1012641	Gardnerella_vaginalis
V1012642	Gardnerella_vaginalis
V1012643	Gardnerella_vaginalis
V1012739	Gardnerella_vaginalis
V1012740	Gardnerella_vaginalis
V1012741	Gardnerella_vaginalis
V1012742	Gardnerella_vaginalis
V1012776	Gardnerella_vaginalis
V1012777	Gardnerella_vaginalis
V1193216	Gardnerella_vaginalis
V1193561	Gardnerella_sp14
V1012918	Gardnerella_vaginalis
V1012944	Gardnerella_vaginalis
V1012945	Gardnerella_vaginalis
